VOCs,NM1,NM2,NM3,NM4,AM1,AM2,AM3,AM4,NMP1,NMP2,NMP3,NMP4,AMP1,AMP2,AMP3,AMP4
"3,4-Dimethylcyclohexanol",1606741.376,1573070.18,1763284.545,2499578.537,1996389.619,1880597.551,2083286.865,2350963.67,215323.041,641864.5803,159087.8072,442126.443,1154673.845,714739.4145,842948.4241,654656.1632
Phenylethyl Alcohol,22960611.28,29963670.32,20155308.09,29514228.59,17929360.51,25078844.99,30852865.14,24041129.95,45744420.99,37171425.24,41535319.05,35935082.5,37124399.32,36999788.77,34796493.84,51262610.41
2-Ethyl-hexoic acid,167125.9249,1183951.818,530450.044,621509.6512,599348.0059,507048.6442,994462.4217,905567.2933,910562.4959,374495.0466,1370481.3,908634.0609,517053.6066,2226007.605,1477691.493,1949537.717
"2,6-Nonadienal, (E,Z)-",893567.7381,920755.8803,1185966.186,866278.8417,1200795.175,1290353.316,1073395.837,1502475.518,369670.7356,967641.7959,343458.9497,804360.5818,1526717.871,477551.9654,1399354.468,1131708.876
"Benzaldehyde, 3-ethyl-",295665.3224,222647.5347,316785.7979,335123.8409,349777.3944,603351.8161,423971.3913,377818.2908,75898.51223,103510.4316,93426.95956,82149.74273,105285.4513,137234.8429,123906.3133,120623.2693
"Urea, propyl-",265792.6315,946995.5551,633229.8208,990909.799,1129945.348,1783577.013,1800518.524,1334948.526,1131205.77,709468.1406,1751793.58,840117.7963,1679839.333,3691937.554,2151322.899,2838167.67
Methyl salicylate,725020.0411,3595486.235,818311.3409,1296185.37,728279.3452,2182679.939,3291990.89,738229.5017,7409276.635,5049490.523,6539191.58,5618614.165,8374101.55,8795506.558,7048227.612,14426639.99
"Octanoic acid, ethyl ester",7346853.03,6929189.07,4342445.881,4424393.898,2229328.022,3236489.654,3911633.123,3076400.405,2094741.261,1108058.713,2220574.165,1846094.249,1944833.189,3615479.91,1269575.998,1819040.959
"3-Cyclohexene-1-acetaldehyde, .alpha.,4-dimethyl-",5682.606659,499982.0843,472994.9367,189406.239,1704.848327,15672.47856,25951.70979,9893.955796,623141.8858,324564.4993,342053.3653,1369350.784,1082576.855,788434.6879,619657.5574,1271132.84
"2,4-Nonadienal, (E,E)-",752493.8229,554233.1351,963042.4588,893963.4635,1075353.155,1026614.693,914475.4765,940217.0449,521032.1732,731970.321,534134.7044,719462.9173,841038.2447,735606.2963,914336.4324,839821.9051
